 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
hamster-sidejack 2.0-1kali5
handlebars 3:4.7.7+~4.1.0-1
hash-identifier 1.2+git20180314-0kali2
hashcat 6.2.6+ds1-1
hashcat-data 6.2.6+ds1-1
hashcat-utils 1.9-0kali2
hashdeep 4.4-7.1+b1
hashid 3.1.4-4
hashrat 1.13-1
haveged 1.9.14-1+b1
hb-honeypot 0.1.1-1kali2
hcxdumptool 6.2.6-2
hcxtools 6.2.7-2
hdmi2usb-fx2-firmware 0.0.0~git20151225-3
hdparm 9.65+ds-1
heartleech 0~git20140607.3ab1d60-0kali1
hexedit 1.6-1
hexinject 1.6-0kali2
hicolor-icon-theme 0.17-2
hostapd 2:2.10-10
hostapd-mana 2.6.5+git20200121-0kali5
hostapd-wpe 2.10+git20220310-0kali1
hosthunter 1.6-0kali2
hostname 3.23+nmu1
hostsman 1.1.5-0kali1
hotpatch 0.2-1kali4
hping3 3.a2.ds2-10
htshells 0.1~git20131205-1kali3
httprint 0.301-0kali4
httprobe 0.2-0kali1
httptoolkit 1.11.0
httpx-toolkit 1.1.5-0kali2
httrack 3.49.2-1.1+b1
hunspell-en-us 1:2020.12.07-2
hurl 2.1-0kali3
hwloc 2.9.0-1
hydra 9.3-3+b1
hydra-gtk 9.3-3+b1
hyperion 2.0-0kali3
hyperv-daemons 6.0.12-1kali1
i2c-tools 4.3-2+b2
i965-va-driver:amd64 2.4.1+dfsg1-1
iaxflood 0.1-1kali2
ibombshell 0~git20201107-0kali2
ibverbs-providers:amd64 42.0-1+b1
icu-devtools 72.1-3
ident-user-enum 1.0-0kali3
ieee-data 20220827.1
ifenslave 2.13
ifupdown 0.8.40
iio-sensor-proxy 3.0-2
ike-scan 1.9.5-1+b1
imagemagick 8:6.9.11.60+dfsg-1.6
imagemagick-6-common 8:6.9.11.60+dfsg-1.6
imagemagick-6.q16 8:6.9.11.60+dfsg-1.6
impacket-scripts 1.7
indi-dsi 0.4+20220611123426-1
inetsim 1.3.2+dfsg.1-1
init 1.65.2+kali2
init-system-helpers 1.65.2+kali2
initramfs-tools 0.142
initramfs-tools-core 0.142
initscripts 3.06-2
inkscape 1.2.2-2+b1
inspectrum 0.2.3-2+b1
inspy 3.0.0-0kali4
insserv 1.24.0-1
instaloader 4.9.5+ds-1
intel-media-va-driver:amd64 22.6.6+dfsg1-1
intel-microcode 3.20221108.1
intrace 1.6-0kali1
inviteflood 2.0-1kali0
inxi 3.3.27-1-1
iodine 0.7.0-10+b1
ipp-usb 0.9.23-1+b1
iproute2 5.18.0-1
iptables 1.8.9-2
iputils-ping 3:20221126-1
ipv6-toolkit 2.1+git20210331-0kali1
ipxe-qemu 1.0.0+git-20190125.36a4c85-5.1
ipython3 7.31.1-1
irpas 0.10-9
isc-dhcp-client 4.4.3-P1-1.1
isc-dhcp-common 4.4.3-P1-1.1
ismtp 1.6+git20190922-0kali1
iso-codes 4.12.0-1
isr-evilgrade 2.0.9-0kali2
isympy-common 1.11.1-1
isympy3 1.11.1-1
iucode-tool 2.3.1-1
ivre 0.9.20-0kali1
iw 5.19-1
ixo-usb-jtag 0.0.1-2
java-common 0.74
java-wrappers 0.4
javascript-common 11+nmu1
jboss-autopwn 0.1-1kali1
john 1.9.0-Jumbo-1+git20211102-0kali5
john-data 1.9.0-Jumbo-1+git20211102-0kali5
johnny 2.2+git20160807-0kali2
joomscan 0.0.7-0kali2
joplin 2.10.3-0kali1
jsp-file-browser 1.2-0kali3
jupyter-core 4.12.0-1
jupyter-nbextension-jupyter-js-widgets 6.0.0-11
jupyter-notebook 6.4.12-2.1
kali-archive-keyring 2022.1
kali-community-wallpapers 2022.3.1
kali-debtags 0.3
kali-defaults 2023.1.1
kali-defaults-desktop 2023.1.1
kali-desktop-base 2023.1.1
kali-desktop-core 2023.1.2
kali-desktop-live 2023.1.2
